Date,Start Time (ET),Visitor,Visitor Points,Home,Home Points,Box Score,Overtime,Attendance,Arena,Notes
2023-01-30,8:00p,Golden State Warriors,128,Oklahoma City Thunder,120,https://www.basketball-reference.com//boxscores/202301300OKC.html,,"16,854",Paycom Center,
2023-01-30,8:00p,Washington Wizards,127,San Antonio Spurs,106,https://www.basketball-reference.com//boxscores/202301300SAS.html,,"11,970",AT&T Center,
2023-01-30,8:30p,Detroit Pistons,105,Dallas Mavericks,111,https://www.basketball-reference.com//boxscores/202301300DAL.html,,"19,777",American Airlines Center,
2023-01-30,9:00p,Toronto Raptors,106,Phoenix Suns,114,https://www.basketball-reference.com//boxscores/202301300PHO.html,,"17,071",Footprint Center,
2023-01-30,10:00p,Atlanta Hawks,125,Portland Trail Blazers,129,https://www.basketball-reference.com//boxscores/202301300POR.html,,"18,262",Moda Center,
2023-01-31,7:00p,Miami Heat,100,Cleveland Cavaliers,97,https://www.basketball-reference.com//boxscores/202301310CLE.html,,"19,432",Rocket Mortgage Fieldhouse,
2023-01-31,7:30p,Los Angeles Lakers,129,New York Knicks,123,https://www.basketball-reference.com//boxscores/202301310NYK.html,OT,"19,812",Madison Square Garden (IV),
2023-01-31,8:00p,Los Angeles Clippers,108,Chicago Bulls,103,https://www.basketball-reference.com//boxscores/202301310CHI.html,,"20,068",United Center,
2023-01-31,8:00p,Charlotte Hornets,115,Milwaukee Bucks,124,https://www.basketball-reference.com//boxscores/202301310MIL.html,,"17,341",Fiserv Forum,
2023-01-31,10:00p,New Orleans Pelicans,113,Denver Nuggets,122,https://www.basketball-reference.com//boxscores/202301310DEN.html,,"18,868",Ball Arena,
2023-02-01,7:00p,Portland Trail Blazers,122,Memphis Grizzlies,112,https://www.basketball-reference.com//boxscores/202302010MEM.html,,"14,589",FedEx Forum,
2023-02-01,7:00p,Orlando Magic,94,Philadelphia 76ers,105,https://www.basketball-reference.com//boxscores/202302010PHI.html,,"20,885",Wells Fargo Center,
2023-02-01,7:30p,Brooklyn Nets,96,Boston Celtics,139,https://www.basketball-reference.com//boxscores/202302010BOS.html,,"19,156",TD Garden,
2023-02-01,8:00p,Oklahoma City Thunder,106,Houston Rockets,112,https://www.basketball-reference.com//boxscores/202302010HOU.html,,"15,181",Toyota Center,
